# Spacecraft Trajectory — artemis1 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
50.820000,31679.490,-865.110,9361.9298,-3825.4473,10113.3465,31691.300,353276.089,0.000,0.000,384954.519,0.000
51.220000,33857.474,-4086.065,7619.9568,-4599.9331,8900.7374,34103.144,351129.402,0.000,0.000,384963.100,0.000
51.620000,35302.986,-7237.417,6035.8347,-5150.9553,7934.9632,36037.217,349743.648,0.000,0.000,384971.742,0.000
52.020000,36099.852,-10270.434,4562.6834,-5542.9388,7179.2932,37532.401,349031.732,0.000,0.000,384980.445,0.000
52.420000,36308.848,-13147.240,3165.7626,-5813.4850,6619.5665,38615.831,348928.137,0.000,0.000,384989.210,0.000
52.820000,35974.842,-15835.115,1817.7663,-5984.8051,6254.7715,39305.727,349382.227,0.000,0.000,384998.036,0.000
53.220000,35131.137,-18303.039,495.7523,-6069.2859,6089.4993,39613.104,350354.202,0.000,0.000,385006.923,0.000
53.620000,33802.207,-20519.218,-821.0340,-6072.1833,6127.4389,39542.731,351812.558,0.000,0.000,385015.871,0.000
54.020000,32005.460,-22448.912,-2152.9117,-5992.6603,6367.6531,39093.518,353732.475,0.000,0.000,385024.880,0.000
54.420000,29752.383,-24052.103,-3521.4354,-5823.5862,6805.4878,38258.436,356094.784,0.000,0.000,385033.949,0.000
54.820000,27049.298,-25280.554,-4951.3038,-5550.0141,7437.6116,37023.923,358885.293,0.000,0.000,385043.079,0.000
55.220000,23897.928,-26073.594,-6472.8995,-5145.6889,8269.0110,35368.676,362094.311,0.000,0.000,385052.269,0.000
55.620000,20296.034,-26351.540,-8126.0630,-4565.8993,9320.9622,33261.579,365716.096,0.000,0.000,385061.519,0.000
56.020000,16238.734,-26004.519,-9966.0823,-3732.4692,10642.0920,30658.303,369747.683,0.000,0.000,385070.830,0.000
56.420000,11722.237,-24871.828,-12073.3102,-2499.5274,12329.3332,27495.794,374185.484,0.000,0.000,385080.200,-0.000
56.820000,6755.849,-22699.661,-14566.1453,-564.7430,14577.0890,23683.668,379014.148,0.000,0.000,385089.630,0.000
57.220000,1406.508,-19042.303,-17591.5354,2807.4091,17814.1422,19094.176,384164.847,0.000,0.000,385099.120,0.000
57.620000,-3989.698,-12990.344,-20941.8321,9898.6036,23163.3911,13589.214,389315.153,0.000,0.000,385108.669,0.000
58.020000,-7291.619,-2520.890,-16890.6587,28806.0799,33392.8823,7715.088,392417.994,0.000,0.000,385118.278,0.000
