# Spacecraft Trajectory — earth-escape (Earth-Moon-Sun)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,dist_Sun_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km,bx_Sun_km,by_Sun_km
45.050000,772617.229,882952.136,7480.3686,24365.4989,25487.9079,1173261.206,964555.823,149975481.926,0.000,0.000,384334.521,0.000,-137954541.619,57869095.865
46.050000,798119.891,894425.291,7479.3542,24361.1997,25483.5003,1198745.995,985504.210,149984757.127,0.000,0.000,384330.154,0.000,-137439376.566,59082241.402
47.050000,823906.702,905487.842,7478.3935,24357.0330,25479.2352,1224226.485,1006548.462,149994069.593,0.000,0.000,384325.568,0.000,-136913564.200,60290755.565
48.050000,849972.194,916135.569,7477.4840,24352.9899,25475.1033,1249702.809,1027684.603,150003419.350,0.000,0.000,384320.756,0.000,-136377146.434,61494545.338
49.050000,876310.841,926364.309,7476.6237,24349.0622,25471.0960,1275175.096,1048908.977,150012806.422,0.000,0.000,384315.710,0.000,-135830165.948,62693518.159
50.050000,902917.064,936169.960,7475.8104,24345.2422,25467.2055,1300643.463,1070218.222,150022230.830,0.000,0.000,384310.423,0.000,-135272666.189,63887581.931
51.050000,929785.223,945548.479,7475.0424,24341.5229,25463.4247,1326108.022,1091609.236,150031692.593,0.000,0.000,384304.886,0.000,-134704691.362,65076645.022
52.050000,956909.628,954495.886,7474.3179,24337.8978,25459.7466,1351568.878,1113079.163,150041191.727,0.000,0.000,384299.091,0.000,-134126286.420,66260616.274
53.050000,984284.533,963008.265,7473.6353,24334.3610,25456.1653,1377026.129,1134625.365,150050728.249,0.000,0.000,384293.032,0.000,-133537497.062,67439405.012
54.050000,1011904.139,971081.763,7472.9932,24330.9069,25452.6749,1402479.867,1156245.407,150060302.172,0.000,0.000,384286.699,0.000,-132938369.720,68612921.045
55.050000,1039762.595,978712.594,7472.3903,24327.5303,25449.2700,1427930.179,1177937.037,150069913.510,0.000,0.000,384280.084,0.000,-132328951.553,69781074.671
56.050000,1067854.001,985897.034,7471.8251,24324.2264,25445.9458,1453377.147,1199698.172,150079562.273,0.000,0.000,384273.179,0.000,-131709290.441,70943776.689
57.050000,1096172.405,992631.431,7471.2967,24320.9907,25442.6977,1478820.848,1221526.881,150089248.472,0.000,0.000,384265.976,0.000,-131079434.978,72100938.399
58.050000,1124711.805,998912.197,7470.8038,24317.8192,25439.5212,1504261.354,1243421.379,150098972.114,0.000,0.000,384258.466,0.000,-130439434.461,73252471.605
59.050000,1153466.152,1004735.815,7470.3456,24314.7079,25436.4125,1529698.736,1265380.006,150108733.209,0.000,0.000,384250.641,-0.000,-129789338.884,74398288.628
60.050000,1182429.350,1010098.835,7469.9210,24311.6532,25433.3679,1555133.057,1287401.226,150118531.761,0.000,0.000,384242.492,0.000,-129129198.934,75538302.303
61.050000,1211595.254,1014997.879,7469.5291,24308.6517,25430.3837,1580564.378,1309483.608,150128367.778,0.000,0.000,384234.011,0.000,-128459065.976,76672425.987
62.050000,1240957.676,1019429.638,7469.1692,24305.7004,25427.4568,1605992.759,1331625.827,150138241.264,0.000,0.000,384225.188,0.000,-127778992.051,77800573.562
63.050000,1270510.382,1023390.876,7468.8405,24302.7961,25424.5841,1631418.253,1353826.647,150148152.222,0.000,0.000,384216.016,-0.000,-127089029.867,78922659.441
64.050000,1300247.093,1026878.429,7468.5423,24299.9361,25421.7627,1656840.913,1376084.919,150158100.657,0.000,0.000,384206.484,0.000,-126389232.791,80038598.570
65.050000,1330161.490,1029889.203,7468.2738,24297.1179,25418.9899,1682260.788,1398399.576,150168086.569,0.000,0.000,384196.585,-0.000,-125679654.840,81148306.435
66.050000,1360247.208,1032420.181,7468.0346,24294.3389,25416.2633,1707677.925,1420769.619,150178109.961,0.000,0.000,384186.309,0.000,-124960350.676,82251699.061
67.050000,1390497.843,1034468.417,7467.8239,24291.5969,25413.5805,1733092.369,1443194.120,150188170.834,0.000,0.000,384175.647,-0.000,-124231375.596,83348693.020
68.050000,1420906.951,1036031.041,7467.6413,24288.8897,25410.9392,1758504.160,1465672.214,150198269.187,0.000,0.000,384164.590,-0.000,-123492785.527,84439205.430
69.050000,1451468.048,1037105.255,7467.4863,24286.2153,25408.3373,1783913.340,1488203.092,150208405.021,0.000,0.000,384153.130,0.000,-122744637.015,85523153.963
70.050000,1482174.610,1037688.340,7467.3584,24283.5717,25405.7729,1809319.945,1510785.999,150218578.335,0.000,0.000,384141.257,0.000,-121986987.219,86600456.845
71.050000,1513020.077,1037777.650,7467.2570,24280.9571,25403.2440,1834724.013,1533420.230,150228789.127,0.000,0.000,384128.962,0.000,-121219893.906,87671032.858
72.050000,1543997.851,1037370.617,7467.1819,24278.3699,25400.7491,1860125.577,1556105.125,150239037.395,0.000,0.000,384116.235,0.000,-120443415.439,88734801.345
73.050000,1575101.300,1036464.748,7467.1326,24275.8085,25398.2863,1885524.670,1578840.069,150249323.137,0.000,0.000,384103.068,0.000,-119657610.771,89791682.212
74.050000,1606323.755,1035057.629,7467.1087,24273.2712,25395.8541,1910921.323,1601624.484,150259646.350,0.000,0.000,384089.452,0.000,-118862539.441,90841595.929
75.050000,1637658.513,1033146.922,7467.1099,24270.7567,25393.4511,1936315.565,1624457.830,150270007.030,0.000,0.000,384075.377,0.000,-118058261.562,91884463.534
76.050000,1669098.837,1030730.367,7467.1359,24268.2636,25391.0759,1961707.424,1647339.601,150280405.173,0.000,0.000,384060.834,0.000,-117244837.816,92920206.634
77.050000,1700637.961,1027805.783,7467.1864,24265.7906,25388.7271,1987096.928,1670269.323,150290840.776,0.000,0.000,384045.813,0.000,-116422329.446,93948747.406
78.050000,1732269.083,1024371.067,7467.2611,24263.3365,25386.4035,2012484.102,1693246.551,150301313.833,0.000,0.000,384030.306,0.000,-115590798.250,94970008.601
79.050000,1763985.373,1020424.196,7467.3596,24260.9001,25384.1040,2037868.969,1716270.868,150311824.341,0.000,0.000,384014.303,0.000,-114750306.572,95983913.544
80.050000,1795779.970,1015963.224,7467.4819,24258.4804,25381.8273,2063251.553,1739341.881,150322372.292,0.000,0.000,383997.796,0.000,-113900917.297,96990386.135
81.050000,1827645.984,1010986.287,7467.6276,24256.0763,25379.5724,2088631.876,1762459.222,150332957.683,0.000,0.000,383980.774,0.000,-113042693.843,97989350.851
82.050000,1859576.498,1005491.600,7467.7964,24253.6867,25377.3384,2114009.960,1785622.546,150343580.506,0.000,0.000,383963.229,0.000,-112175700.152,98980732.750
83.050000,1891564.567,999477.458,7467.9883,24251.3109,25375.1242,2139385.823,1808831.527,150354240.755,0.000,0.000,383945.151,-0.000,-111300000.688,99964457.466
84.050000,1923603.219,992942.238,7468.2030,24248.9479,25372.9291,2164759.486,1832085.858,150364938.424,0.000,0.000,383926.532,0.000,-110415660.427,100940451.214
85.050000,1955685.458,985884.395,7468.4403,24246.5968,25370.7520,2190130.967,1855385.250,150375673.506,0.000,0.000,383907.361,0.000,-109522744.849,101908640.791
86.050000,1987804.261,978302.468,7468.7001,24244.2568,25368.5922,2215500.282,1878729.431,150386445.993,0.000,0.000,383887.631,-0.000,-108621319.937,102868953.573
87.050000,2019952.584,970195.075,7468.9822,24241.9272,25366.4489,2240867.449,1902118.145,150397255.879,0.000,0.000,383867.332,0.000,-107711452.163,103821317.521
