# Spacecraft Trajectory — moon-impact (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
6.305000,213150.069,9973.944,30991.4710,3487.2399,31187.0504,213383.297,171548.832,0.000,0.000,384408.710,0.000
6.405000,216273.819,9924.686,30980.5307,3486.0363,31176.0442,216501.419,168427.831,0.000,0.000,384408.988,0.000
6.505000,219396.587,9869.357,30969.9145,3484.8662,31165.3637,219618.457,165307.562,0.000,0.000,384409.271,0.000
6.605000,222518.396,9807.958,30959.6094,3483.7282,31154.9960,222734.444,162187.991,0.000,0.000,384409.558,-0.000
6.705000,225639.267,9740.496,30949.6033,3482.6210,31144.9288,225849.410,159069.089,0.000,0.000,384409.850,0.000
6.805000,228759.221,9666.973,30939.8848,3481.5432,31135.1508,228963.385,155950.827,0.000,0.000,384410.145,0.000
6.905000,231878.278,9587.393,30930.4434,3480.4939,31125.6512,232076.397,152833.178,0.000,0.000,384410.446,0.000
7.005000,234996.456,9501.759,30921.2689,3479.4718,31116.4200,235188.473,149716.114,0.000,0.000,384410.750,-0.000
7.105000,238113.772,9410.076,30912.3520,3478.4760,31107.4477,238299.639,146599.610,0.000,0.000,384411.059,0.000
7.205000,241230.244,9312.346,30903.6838,3477.5054,31098.7254,241409.922,143483.642,0.000,0.000,384411.373,0.000
7.305000,244345.886,9208.573,30895.2562,3476.5591,31090.2448,244519.345,140368.185,0.000,0.000,384411.690,0.000
7.405000,247460.715,9098.759,30887.0614,3475.6362,31081.9982,247627.932,137253.216,0.000,0.000,384412.013,0.000
7.505000,250574.743,8982.908,30879.0923,3474.7360,31073.9784,250735.707,134138.714,0.000,0.000,384412.339,0.000
7.605000,253687.985,8861.023,30871.3421,3473.8574,31066.1785,253842.691,131024.657,0.000,0.000,384412.670,0.000
7.705000,256800.454,8733.105,30863.8046,3473.0000,31058.5924,256948.906,127911.025,0.000,0.000,384413.005,-0.000
7.805000,259912.162,8599.158,30856.4742,3472.1628,31051.2143,260054.374,124797.796,0.000,0.000,384413.345,0.000
7.905000,263023.121,8459.185,30849.3455,3471.3452,31044.0389,263159.115,121684.953,0.000,0.000,384413.689,-0.000
8.005000,266133.341,8313.187,30842.4137,3470.5467,31037.0614,266263.149,118572.476,0.000,0.000,384414.037,0.000
8.105000,269242.834,8161.167,30835.6747,3469.7666,31030.2773,269366.495,115460.347,0.000,0.000,384414.390,0.000
8.205000,272351.611,8003.127,30829.1244,3469.0042,31023.6829,272469.172,112348.549,0.000,0.000,384414.747,0.000
8.305000,275459.680,7839.070,30822.7596,3468.2592,31017.2747,275571.200,109237.065,0.000,0.000,384415.108,0.000
8.405000,278567.053,7668.998,30816.5774,3467.5309,31011.0499,278672.597,106125.878,0.000,0.000,384415.474,0.000
8.505000,281673.737,7492.912,30810.5756,3466.8190,31005.0061,281773.381,103014.971,0.000,0.000,384415.844,0.000
8.605000,284779.744,7310.814,30804.7523,3466.1230,30999.1414,284873.569,99904.330,0.000,0.000,384416.219,0.000
8.705000,287885.081,7122.707,30799.1064,3465.4424,30993.4549,287973.181,96793.939,0.000,0.000,384416.598,-0.000
8.805000,290989.758,6928.592,30793.6374,3464.7770,30987.9458,291072.233,93683.784,0.000,0.000,384416.981,0.000
8.905000,294093.784,6728.470,30788.3456,3464.1264,30982.6145,294170.744,90573.849,0.000,0.000,384417.369,-0.000
9.005000,297197.169,6522.344,30783.2321,3463.4903,30977.4619,297268.730,87464.122,0.000,0.000,384417.761,0.000
9.105000,300299.920,6310.214,30778.2988,3462.8685,30972.4900,300366.211,84354.589,0.000,0.000,384418.157,0.000
9.205000,303402.048,6092.082,30773.5488,3462.2608,30967.7018,303463.204,81245.236,0.000,0.000,384418.558,0.000
9.305000,306503.563,5867.949,30768.9864,3461.6672,30963.1017,306559.728,78136.051,0.000,0.000,384418.963,0.000
9.405000,309604.474,5637.817,30764.6173,3461.0875,30958.6951,309655.802,75027.022,0.000,0.000,384419.373,0.000
9.505000,312704.794,5401.686,30760.4489,3460.5219,30954.4896,312751.445,71918.136,0.000,0.000,384419.786,-0.000
9.605000,315804.534,5159.557,30756.4908,3459.9705,30950.4947,315846.679,68809.384,0.000,0.000,384420.205,0.000
9.705000,318903.706,4911.431,30752.7550,3459.4335,30946.7223,318941.524,65700.754,0.000,0.000,384420.627,0.000
9.805000,322002.326,4657.308,30749.2566,3458.9115,30943.1875,322036.005,62592.237,0.000,0.000,384421.054,0.000
9.905000,325100.408,4397.190,30746.0148,3458.4052,30939.9094,325130.144,59483.825,0.000,0.000,384421.485,0.000
10.005000,328197.972,4131.076,30743.0534,3457.9156,30936.9118,328223.970,56375.511,0.000,0.000,384421.921,0.000
10.105000,331295.038,3858.965,30740.4028,3457.4442,30934.2251,331317.512,53267.289,0.000,0.000,384422.361,0.000
10.205000,334391.630,3580.859,30738.1014,3456.9929,30931.8877,334410.803,50159.157,0.000,0.000,384422.806,0.000
10.305000,337487.777,3296.755,30736.1988,3456.5645,30929.9492,337503.879,47051.117,0.000,0.000,384423.254,0.000
10.405000,340583.514,3006.654,30734.7591,3456.1631,30928.4736,340596.785,43943.174,0.000,0.000,384423.707,0.000
10.505000,343678.881,2710.553,30733.8668,3455.7944,30927.5457,343689.570,40835.343,0.000,0.000,384424.165,-0.000
10.605000,346773.930,2408.451,30733.6350,3455.4667,30927.2787,346782.294,37727.650,0.000,0.000,384424.627,0.000
10.705000,349868.726,2100.345,30734.2182,3455.1925,30927.8276,349875.031,34620.137,0.000,0.000,384425.093,-0.000
10.805000,352963.353,1786.232,30735.8326,3454.9908,30929.4094,352967.873,31512.876,0.000,0.000,384425.564,0.000
10.905000,356057.918,1466.109,30738.7895,3454.8922,30932.3368,356060.937,28405.980,0.000,0.000,384426.038,0.000
11.005000,359152.571,1139.971,30743.5538,3454.9476,30937.0775,359154.380,25299.643,0.000,0.000,384426.518,0.000
11.105000,362247.516,807.813,30750.8502,3455.2464,30944.3616,362248.417,22194.191,0.000,0.000,384427.001,0.000
11.205000,365343.056,469.633,30761.8730,3455.9579,30955.3949,365343.357,19090.211,0.000,0.000,384427.489,-0.000
11.305000,368439.650,125.434,30778.7361,3457.4327,30972.3172,368439.672,15988.823,0.000,0.000,384427.982,0.000
11.405000,371538.065,-224.762,30805.5584,3460.4943,30999.3136,371538.133,12892.373,0.000,0.000,384428.478,0.000
11.505000,374639.699,-580.863,30851.5340,3467.4596,31045.7796,374640.149,9806.498,0.000,0.000,384428.979,0.000
11.605000,377747.548,-942.492,30941.8664,3486.9948,31137.7300,377748.724,6748.079,0.000,0.000,384429.485,0.000
11.705000,380869.960,-1307.531,31172.6108,3573.5137,31376.7695,380872.205,3792.556,0.000,0.000,384429.995,0.000
