# Spacecraft Trajectory — jupiter-io (Jupiter-Io)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Jupiter_km,dist_Io_km,bx_Jupiter_km,by_Jupiter_km,bx_Io_km,by_Io_km
2.741000,167189.823,-107143.690,-9662.3486,-100492.4691,100955.9178,198575.445,276223.763,0.000,0.000,421787.146,0.000
2.761000,165889.788,-109401.100,-10482.5160,-100351.9880,100897.9912,198715.934,278301.928,0.000,0.000,421786.961,-0.000
2.781000,164564.014,-111642.545,-11300.0465,-100203.4192,100838.5654,198860.184,280406.144,0.000,0.000,421786.774,0.000
2.801000,163212.726,-113867.726,-12114.8345,-100046.8193,100777.6526,199008.173,282535.484,0.000,0.000,421786.585,0.000
2.821000,161836.151,-116076.346,-12926.7762,-99882.2464,100715.2654,199159.880,284689.038,0.000,0.000,421786.396,0.000
2.841000,160434.522,-118268.116,-13735.7688,-99709.7601,100651.4163,199315.286,286865.908,0.000,0.000,421786.205,0.000
2.861000,159008.076,-120442.747,-14541.7115,-99529.4220,100586.1184,199474.368,289065.217,0.000,0.000,421786.013,0.000
2.881000,157557.051,-122599.955,-15344.5048,-99341.2950,100519.3848,199637.104,291286.098,0.000,0.000,421785.820,-0.000
2.901000,156081.692,-124739.461,-16144.0508,-99145.4438,100451.2289,199803.472,293527.705,0.000,0.000,421785.625,0.000
2.921000,154582.243,-126860.990,-16940.2533,-98941.9343,100381.6643,199973.450,295789.205,0.000,0.000,421785.430,0.000
2.941000,153058.956,-128964.270,-17733.0176,-98730.8340,100310.7048,200147.013,298069.782,0.000,0.000,421785.233,0.000
2.961000,151512.083,-131049.035,-18522.2508,-98512.2119,100238.3643,200324.139,300368.637,0.000,0.000,421785.034,0.000
2.981000,149941.880,-133115.020,-19307.8616,-98286.1383,100164.6569,200504.803,302684.986,0.000,0.000,421784.835,0.000
3.001000,148348.608,-135161.969,-20089.7605,-98052.6846,100089.5971,200688.982,305018.062,0.000,0.000,421784.634,-0.000
3.021000,146732.529,-137189.627,-20867.8597,-97811.9239,100013.1993,200876.650,307367.115,0.000,0.000,421784.432,-0.000
3.041000,145093.907,-139197.743,-21642.0730,-97563.9301,99935.4781,201067.783,309731.409,0.000,0.000,421784.229,0.000
3.061000,143433.012,-141186.072,-22412.3161,-97308.7785,99856.4484,201262.355,312110.226,0.000,0.000,421784.024,0.000
3.081000,141750.113,-143154.373,-23178.5065,-97046.5455,99776.1252,201460.341,314502.862,0.000,0.000,421783.818,0.000
3.101000,140045.486,-145102.409,-23940.5635,-96777.3085,99694.5236,201661.715,316908.631,0.000,0.000,421783.611,0.000
3.121000,138319.406,-147029.948,-24698.4081,-96501.1460,99611.6587,201866.450,319326.860,0.000,0.000,421783.403,0.000
